brand,year,km_driven,fuel,seller_type,transmission,owner,selling_price
Maruti,2012,60000,Petrol,Individual,Manual,Second Owner,160000
Mahindra,1996,35000,Diesel,Individual,Manual,Second Owner,250000
Honda,2014,90000,Diesel,Dealer,Manual,First Owner,675000
Maruti,2013,80000,Petrol,Dealer,Manual,First Owner,300000
Tata,2005,80000,Diesel,Individual,Manual,First Owner,70000
Hyundai,2014,73300,Petrol,Dealer,Manual,Second Owner,240000
Toyota,2014,92000,Diesel,Dealer,Manual,First Owner,525000
Maruti,2009,66764,Petrol,Dealer,Manual,Second Owner,151000
Maruti,2009,100000,Petrol,Individual,Manual,First Owner,140000
Chevrolet,2010,350000,Diesel,Individual,Manual,Second Owner,280000
Toyota,2011,230000,Diesel,Individual,Manual,First Owner,350000
Mahindra,2017,60000,Diesel,Individual,Manual,First Owner,570000
Hyundai,2018,31000,Petrol,Individual,Manual,First Owner,300000
Tata,2007,39000,Diesel,Individual,Manual,First Owner,100000
Toyota,2009,120000,Diesel,Individual,Manual,Third Owner,500000
Tata,2014,166000,Diesel,Individual,Manual,Fourth & Above Owner,125000
Maruti,2006,110000,Petrol,Individual,Manual,Third Owner,130000
Ford,2017,35000,Diesel,Individual,Manual,First Owner,925000
Maruti,2018,60000,Diesel,Individual,Manual,First Owner,750000
Honda,2007,54000,Petrol,Individual,Automatic,Second Owner,200000
Hyundai,2010,63000,Petrol,Individual,Manual,Second Owner,248000
Skoda,2014,120000,Diesel,Individual,Manual,Second Owner,450000
Hyundai,2005,120000,Petrol,Individual,Manual,Third Owner,80000
Nissan,2014,76000,Petrol,Individual,Manual,Second Owner,650000
Hyundai,2015,80000,Diesel,Individual,Manual,First Owner,450000
Hyundai,2019,25000,Diesel,Individual,Manual,First Owner,650000
Honda,2016,11958,Petrol,Dealer,Manual,First Owner,495000
Honda,2015,20000,Petrol,Dealer,Manual,First Owner,371000
Hyundai,2017,9000,Petrol,Dealer,Manual,First Owner,1025000
Mercedes-Benz,2017,6500,Diesel,Dealer,Automatic,First Owner,8150000
Mahindra,2015,70000,Diesel,Individual,Manual,First Owner,750000
Renault,2013,120000,Diesel,Individual,Manual,First Owner,600000
Hyundai,2007,58000,Petrol,Dealer,Manual,Second Owner,80000
Mahindra,2013,62200,Diesel,Dealer,Manual,First Owner,325000
Audi,2014,34000,Diesel,Dealer,Automatic,Second Owner,1470000
Fiat,2015,53000,Diesel,Individual,Manual,Second Owner,350000
Audi,2013,49000,Diesel,Dealer,Automatic,First Owner,2800000
Datsun,2017,15000,Petrol,Dealer,Manual,Second Owner,210000
Volkswagen,2013,50000,Petrol,Individual,Manual,First Owner,450000
Audi,2013,53000,Diesel,Dealer,Automatic,First Owner,1150000
Honda,2009,63500,Petrol,Dealer,Automatic,First Owner,210000
Mercedes-Benz,2018,9800,Petrol,Dealer,Automatic,First Owner,4500000
BMW,2017,13000,Diesel,Individual,Automatic,First Owner,2750000
Volvo,2018,21000,Diesel,Dealer,Automatic,First Owner,1975000
Maruti,2008,29173,Petrol,Dealer,Manual,First Owner,175000
BMW,2012,48000,Diesel,Dealer,Automatic,First Owner,2500000
Mahindra,2017,120000,Diesel,Individual,Manual,First Owner,628000
Hyundai,2010,100000,Diesel,Individual,Manual,First Owner,600000
Nissan,2017,30000,Petrol,Individual,Manual,First Owner,399000
Mahindra,2018,87000,Diesel,Individual,Manual,First Owner,750000
Hyundai,2019,15000,Petrol,Individual,Manual,First Owner,750000
Renault,2017,16000,Petrol,Individual,Manual,First Owner,315000
Mahindra,2012,60000,Diesel,Individual,Manual,First Owner,600000
Maruti,2010,60000,Petrol,Individual,Manual,Fourth & Above Owner,100000
Maruti,2011,110000,Petrol,Individual,Manual,Third Owner,250000
Renault,2017,25000,Petrol,Individual,Manual,First Owner,350000
Hyundai,2016,60000,Diesel,Individual,Manual,First Owner,780000
Maruti,2014,79350,Diesel,Individual,Manual,Second Owner,434000
Hyundai,2016,80000,Petrol,Individual,Automatic,First Owner,690000
Mahindra,2014,90000,Diesel,Individual,Manual,Second Owner,555000
Maruti,2007,90000,Petrol,Individual,Manual,Second Owner,120000
Maruti,2014,120000,Diesel,Individual,Manual,Second Owner,500000
Chevrolet,2013,60000,Diesel,Individual,Manual,Second Owner,165000
Maruti,2004,50000,Petrol,Individual,Manual,First Owner,95000
Maruti,2018,20000,Petrol,Individual,Manual,First Owner,550000
Maruti,2007,110000,Diesel,Individual,Manual,Fourth & Above Owner,100000
Tata,2012,50000,Petrol,Individual,Manual,Second Owner,100000
Toyota,2012,100000,Diesel,Individual,Manual,First Owner,500000
Maruti,2016,70000,Diesel,Individual,Manual,Second Owner,800000
Hyundai,2016,70000,Diesel,Individual,Manual,Second Owner,840000
Honda,2016,50000,Petrol,Individual,Manual,First Owner,490000
Tata,2010,81000,Diesel,Individual,Manual,Second Owner,125000
Chevrolet,2012,120000,Diesel,Individual,Manual,Third Owner,400000
Chevrolet,2015,3600,Diesel,Dealer,Manual,First Owner,1000000
Ford,2015,14272,Petrol,Dealer,Manual,First Owner,530000
Ford,2017,49213,Diesel,Dealer,Manual,First Owner,840000
Hyundai,2015,40000,Petrol,Individual,Manual,First Owner,229999
Maruti,1998,40000,Petrol,Individual,Manual,Fourth & Above Owner,40000
Chevrolet,2012,80000,Petrol,Individual,Manual,First Owner,130000
Hyundai,2015,70000,Petrol,Individual,Manual,First Owner,200000
Tata,2011,70000,Diesel,Individual,Manual,First Owner,120000
Hyundai,2003,57000,Petrol,Individual,Manual,First Owner,75000
Tata,2016,120000,Diesel,Individual,Manual,First Owner,250000
Maruti,2005,30000,Petrol,Individual,Manual,First Owner,100000
Hyundai,2013,3240,Petrol,Individual,Manual,Second Owner,280000
Hyundai,2015,5000,Petrol,Individual,Manual,First Owner,540000
Hyundai,2018,10000,Petrol,Individual,Manual,First Owner,700000
Maruti,2015,100000,Diesel,Individual,Manual,First Owner,525000
Hyundai,2016,80000,Diesel,Individual,Manual,First Owner,430000
Hyundai,2002,70000,Petrol,Individual,Manual,First Owner,65000
Maruti,2018,35000,Diesel,Individual,Manual,First Owner,800000
Hyundai,2007,114000,Petrol,Individual,Manual,Second Owner,75000
Hyundai,2008,53772,Petrol,Individual,Manual,First Owner,210000
Mahindra,2012,140000,Diesel,Individual,Manual,Second Owner,195000
Chevrolet,2015,120000,Diesel,Individual,Manual,First Owner,400000
Hyundai,2012,60000,Petrol,Individual,Manual,First Owner,170000
Renault,2016,25000,Petrol,Individual,Manual,First Owner,225000
Maruti,2014,90000,LPG,Individual,Manual,First Owner,210000
Maruti,2020,120000,Petrol,Individual,Manual,First Owner,240000
Chevrolet,2015,175000,Diesel,Individual,Manual,First Owner,300000
Chevrolet,2011,100000,Petrol,Individual,Manual,Third Owner,99000
Honda,2014,36000,Petrol,Individual,Manual,First Owner,620000
Honda,2013,30000,Diesel,Individual,Manual,First Owner,500000
Jaguar,2010,40000,Petrol,Individual,Automatic,Second Owner,2550000
Honda,2013,70000,Petrol,Individual,Manual,Second Owner,260000
Maruti,2017,60000,Petrol,Individual,Manual,First Owner,550000
Tata,2011,155500,Diesel,Individual,Manual,First Owner,150000
Hyundai,2011,50000,Petrol,Individual,Automatic,Second Owner,350000
Chevrolet,2016,40000,Petrol,Individual,Manual,First Owner,320000
Maruti,2015,100000,Diesel,Individual,Manual,Third Owner,400000
Maruti,2012,80000,Petrol,Individual,Manual,Third Owner,175000
Chevrolet,2011,90000,Petrol,Individual,Manual,Second Owner,120000
Renault,2013,90000,Diesel,Individual,Manual,Second Owner,320000
Hyundai,2006,110000,Petrol,Individual,Manual,Third Owner,70000
Maruti,2019,15000,Petrol,Individual,Manual,First Owner,810000
Maruti,2007,100000,Petrol,Individual,Manual,Second Owner,95000
Maruti,2020,40000,CNG,Individual,Manual,First Owner,282000
Maruti,2004,60000,Petrol,Individual,Manual,Second Owner,80000
Tata,2013,25000,Petrol,Individual,Manual,First Owner,72000
Hyundai,2016,25000,Petrol,Individual,Manual,First Owner,600000
Skoda,2015,23000,Petrol,Individual,Manual,First Owner,640000
Maruti,2018,22155,Petrol,Individual,Manual,First Owner,380000
Maruti,2018,70000,Petrol,Individual,Manual,First Owner,650000
Maruti,2009,60000,Petrol,Individual,Manual,Second Owner,150000
Hyundai,2009,110000,Petrol,Individual,Manual,Second Owner,280000
Tata,2018,30000,Petrol,Individual,Manual,First Owner,430000
Mahindra,2019,15000,Diesel,Individual,Manual,First Owner,800000
Maruti,2003,100000,Diesel,Individual,Manual,Second Owner,75000
Volkswagen,2016,70000,Diesel,Individual,Automatic,First Owner,650000
Maruti,2017,24000,Petrol,Individual,Manual,First Owner,390000
Honda,2005,120000,Petrol,Individual,Manual,Second Owner,100000
Mercedes-Benz,2013,35000,Diesel,Individual,Automatic,First Owner,1500000
Maruti,2007,78380,Petrol,Individual,Manual,First Owner,175000
Renault,2012,110000,Diesel,Individual,Manual,Second Owner,434999
Ford,2010,90000,Diesel,Individual,Manual,Third Owner,170000
Ford,2011,90000,Diesel,Individual,Manual,Third Owner,190000
Maruti,2009,150000,Diesel,Individual,Manual,Third Owner,250000
Mahindra,2009,230000,Diesel,Individual,Manual,Third Owner,229999
Maruti,2006,70000,Petrol,Individual,Manual,Third Owner,140000
Maruti,2017,80362,Diesel,Individual,Manual,First Owner,600000
Hyundai,2012,110000,Petrol,Individual,Manual,Third Owner,280000
Chevrolet,2012,60000,Diesel,Individual,Manual,First Owner,150000
Chevrolet,2015,50000,Diesel,Individual,Automatic,First Owner,650000
Nissan,2014,40000,Petrol,Individual,Manual,Second Owner,210000
BMW,2017,40000,Diesel,Individual,Automatic,First Owner,2900000
Chevrolet,2013,20000,Diesel,Dealer,Manual,First Owner,425000
Hyundai,2014,55000,Petrol,Dealer,Manual,First Owner,265000
Fiat,2018,1136,Petrol,Dealer,Manual,First Owner,890000
Renault,2013,55000,Petrol,Dealer,Manual,First Owner,365000
Ford,2014,43000,Petrol,Dealer,Manual,First Owner,350000
Maruti,2016,60000,Diesel,Individual,Manual,First Owner,685000
Skoda,2018,2650,Diesel,Dealer,Manual,First Owner,940000
Mahindra,2017,40000,Diesel,Individual,Manual,First Owner,1000000
Mahindra,2019,15000,Petrol,Dealer,Manual,First Owner,1150000
Maruti,2016,115962,Diesel,Individual,Manual,Second Owner,450000
Nissan,2015,65000,Diesel,Dealer,Manual,First Owner,590000
Maruti,2017,40000,Diesel,Individual,Manual,First Owner,800000
Hyundai,2012,58000,Diesel,Dealer,Manual,First Owner,385000
Mercedes-Benz,2013,15000,Diesel,Individual,Automatic,First Owner,2000000
Hyundai,2012,54000,Petrol,Dealer,Manual,First Owner,235000
Volkswagen,2017,56000,Diesel,Dealer,Manual,First Owner,640000
Maruti,2006,120000,Petrol,Individual,Manual,Third Owner,52000
Maruti,2009,90000,LPG,Individual,Manual,Second Owner,80000
Maruti,2012,70000,Petrol,Individual,Manual,Second Owner,140000
Hyundai,2008,90000,Petrol,Individual,Manual,Second Owner,120000
Mahindra,2008,213000,Diesel,Individual,Manual,First Owner,89999
Chevrolet,2012,120000,Diesel,Individual,Manual,First Owner,180000
Mahindra,2017,20000,Diesel,Individual,Manual,First Owner,1500000
Hyundai,2017,10000,Petrol,Individual,Manual,First Owner,700000
Maruti,2012,80000,Diesel,Individual,Manual,Second Owner,285000
Hyundai,2015,90000,Petrol,Individual,Manual,First Owner,390000
Maruti,2008,80000,Petrol,Individual,Manual,First Owner,125000
Maruti,2008,60000,Petrol,Individual,Manual,Second Owner,225000
Hyundai,2011,139000,Petrol,Individual,Manual,Second Owner,175000
Toyota,2011,160000,Diesel,Individual,Manual,Second Owner,1075000
Honda,2014,150000,Diesel,Individual,Manual,First Owner,300000
Toyota,2010,163000,Diesel,Individual,Manual,Fourth & Above Owner,700000
Tata,2009,120000,Diesel,Dealer,Manual,First Owner,90000
Tata,2011,120000,Diesel,Individual,Manual,Second Owner,120000
Chevrolet,2012,100000,Diesel,Individual,Manual,Second Owner,220000
Tata,2015,140000,Diesel,Dealer,Manual,First Owner,300000
Skoda,2010,87000,Diesel,Dealer,Manual,Second Owner,180000
Maruti,2013,70000,Petrol,Individual,Manual,First Owner,170000
Ford,2015,50000,Petrol,Individual,Manual,Second Owner,300000
Toyota,2014,70000,Diesel,Individual,Manual,First Owner,1050000
Honda,2014,150000,Diesel,Individual,Manual,First Owner,300000
Hyundai,2018,25000,Diesel,Individual,Manual,First Owner,465000
Chevrolet,2011,80000,Diesel,Individual,Manual,Second Owner,130000
Datsun,2018,10000,Petrol,Individual,Manual,First Owner,434999
Hyundai,2018,32000,Petrol,Individual,Manual,First Owner,500000
Maruti,2018,10000,Petrol,Individual,Manual,First Owner,200000
Maruti,2017,52000,Petrol,Dealer,Manual,First Owner,625000
Ford,2006,120000,Diesel,Individual,Manual,Third Owner,110000
Hyundai,2019,11240,Petrol,Individual,Manual,First Owner,800000
Hyundai,2017,66000,Diesel,Dealer,Manual,First Owner,490000
Maruti,2017,64000,Diesel,Dealer,Manual,First Owner,880000
Hyundai,2013,49000,Petrol,Individual,Manual,First Owner,290000
Tata,2006,100000,Diesel,Individual,Manual,Second Owner,115999
Renault,2018,26500,Petrol,Individual,Manual,First Owner,360000
Maruti,2002,100000,Petrol,Individual,Manual,Second Owner,65000
Maruti,2017,72000,Diesel,Dealer,Manual,First Owner,685000
Honda,2009,50000,Petrol,Individual,Manual,First Owner,300000
Hyundai,2017,44000,Diesel,Dealer,Manual,First Owner,680000
Maruti,2017,60000,Diesel,Individual,Manual,Second Owner,1000000
Tata,2002,120000,Diesel,Individual,Manual,First Owner,100000
Mahindra,2010,130000,Diesel,Individual,Manual,First Owner,160000
Maruti,2017,70000,Diesel,Individual,Manual,First Owner,450000
Maruti,2014,20000,Petrol,Individual,Manual,First Owner,600000
Hyundai,2009,60000,Diesel,Individual,Manual,Second Owner,180000
Maruti,2007,195000,Petrol,Individual,Manual,First Owner,100000
Maruti,2010,90000,Petrol,Individual,Manual,Second Owner,120000
Hyundai,2006,80000,Petrol,Individual,Manual,Third Owner,130000
Maruti,2011,155000,Petrol,Individual,Manual,First Owner,160000
Mahindra,2019,35000,Diesel,Individual,Manual,First Owner,860000
Hyundai,2018,20000,Petrol,Individual,Manual,Second Owner,650000
Maruti,2010,80000,Petrol,Individual,Manual,Second Owner,100000
Maruti,2017,20000,Petrol,Individual,Manual,First Owner,282000
Hyundai,2009,50000,Petrol,Individual,Manual,First Owner,300000
Hyundai,2010,110000,Petrol,Individual,Manual,Second Owner,270000
Hyundai,2013,29000,Diesel,Individual,Manual,First Owner,550000
Mahindra,2013,120000,Diesel,Individual,Manual,First Owner,450000
Mahindra,2011,70000,Diesel,Individual,Manual,Second Owner,430000
Maruti,2013,40000,Petrol,Individual,Manual,First Owner,350000
Honda,2017,20000,Petrol,Individual,Manual,First Owner,350000
Toyota,2013,50000,Petrol,Individual,Manual,Second Owner,229999
Maruti,2013,50000,Petrol,Individual,Manual,First Owner,110000
Maruti,2012,49000,Petrol,Individual,Manual,Second Owner,395000
Mahindra,2011,70000,Diesel,Individual,Automatic,Second Owner,650000
Mahindra,2011,90000,Diesel,Individual,Manual,Second Owner,350000
Mahindra,2020,25000,Diesel,Dealer,Manual,First Owner,1400000
Tata,2018,4000,Petrol,Individual,Manual,First Owner,360000
Mahindra,2018,10000,Diesel,Individual,Manual,First Owner,1300000
Renault,2015,15000,Diesel,Individual,Manual,First Owner,800000
Hyundai,2018,30000,Petrol,Individual,Manual,First Owner,229999
Maruti,2014,41000,Petrol,Dealer,Manual,First Owner,315000
Chevrolet,2012,28000,Petrol,Individual,Manual,First Owner,125000
Maruti,2019,16000,Petrol,Individual,Manual,First Owner,700000
Hyundai,2015,70000,Petrol,Individual,Manual,First Owner,160000
Ford,2017,10832,Petrol,Dealer,Manual,First Owner,530000
Ford,2018,14681,Diesel,Dealer,Manual,First Owner,624000
Hyundai,2009,50000,Petrol,Individual,Manual,First Owner,250000
Mahindra,2016,51000,Diesel,Dealer,Manual,First Owner,585000
Hyundai,2015,25000,Petrol,Individual,Manual,First Owner,500000
Chevrolet,2014,30000,Petrol,Individual,Manual,First Owner,350000
Honda,2014,80000,Diesel,Dealer,Manual,First Owner,495000
Hyundai,2017,50000,Petrol,Individual,Manual,First Owner,500000
Mahindra,2015,200000,Diesel,Individual,Manual,First Owner,430000
Hyundai,2013,44000,Petrol,Dealer,Manual,First Owner,345000
Maruti,2015,10000,Petrol,Individual,Manual,First Owner,500000
Tata,2019,19600,Petrol,Individual,Manual,First Owner,425000
Maruti,2005,40000,Petrol,Individual,Manual,Second Owner,80000
Chevrolet,2011,50000,Diesel,Individual,Manual,First Owner,106000
Maruti,2009,46730,Petrol,Individual,Manual,First Owner,180000
Datsun,2015,40000,Petrol,Individual,Manual,Second Owner,250000
Skoda,2011,80000,Diesel,Individual,Manual,First Owner,350000
Maruti,2002,80000,Petrol,Individual,Manual,Second Owner,60000
Hyundai,2018,24000,Diesel,Individual,Manual,First Owner,900000
Ford,2017,21170,Diesel,Dealer,Manual,First Owner,700000
BMW,2013,167223,Diesel,Dealer,Automatic,First Owner,2000000
Maruti,2017,40000,Diesel,Individual,Manual,First Owner,1000000
BMW,2011,60000,Diesel,Individual,Automatic,First Owner,1375000
Toyota,2016,141440,Diesel,Dealer,Manual,First Owner,1800000
Chevrolet,2007,120000,Diesel,Individual,Manual,Third Owner,160000
Mitsubishi,2012,140000,Petrol,Individual,Automatic,First Owner,525000
Mahindra,2012,212814,Diesel,Dealer,Manual,First Owner,850000
Maruti,2019,30000,Diesel,Individual,Manual,First Owner,800000
Ford,2017,88635,Diesel,Dealer,Manual,First Owner,700000
Maruti,2018,25000,Diesel,Individual,Manual,First Owner,800000
Hyundai,2017,20000,Petrol,Individual,Manual,Second Owner,575000
Renault,2012,110000,Diesel,Individual,Manual,Second Owner,350000
Maruti,2008,120000,Diesel,Individual,Manual,Third Owner,250000
Ford,2011,149674,Diesel,Dealer,Manual,Second Owner,600000
Mahindra,2007,100000,Diesel,Individual,Manual,Third Owner,370000
Maruti,2006,120000,Petrol,Individual,Manual,Third Owner,80000
Tata,2003,120000,Diesel,Individual,Manual,Second Owner,50000
Hyundai,2018,25000,Diesel,Individual,Manual,First Owner,900000
Maruti,2014,35000,Petrol,Individual,Manual,Second Owner,300000
Tata,2002,40000,Petrol,Individual,Manual,First Owner,125000
Maruti,2015,60000,Diesel,Individual,Manual,Second Owner,490000
Toyota,2012,50000,Diesel,Individual,Manual,Second Owner,300000
Tata,2013,25000,Petrol,Individual,Manual,Fourth & Above Owner,55000
Hyundai,2016,25000,Petrol,Individual,Manual,First Owner,350000
Hyundai,2019,8000,Diesel,Individual,Manual,First Owner,755000
Maruti,2017,60000,Diesel,Individual,Manual,First Owner,720000
Mahindra,2006,200000,Diesel,Individual,Manual,Third Owner,229999
Mahindra,2018,20000,Diesel,Individual,Manual,First Owner,1100000
Volkswagen,2013,100000,Petrol,Individual,Manual,First Owner,400000
Hyundai,2015,70000,Diesel,Individual,Manual,Second Owner,350000
Chevrolet,2012,68000,Diesel,Dealer,Manual,First Owner,159000
Maruti,2017,38000,Petrol,Dealer,Manual,First Owner,550000
Maruti,2013,80000,Diesel,Dealer,Manual,First Owner,335000
Tata,2014,72000,CNG,Dealer,Manual,First Owner,185000
Maruti,2012,75000,CNG,Dealer,Manual,First Owner,229999
Maruti,2014,43000,Petrol,Dealer,Manual,First Owner,225000
Maruti,2007,120000,Petrol,Individual,Manual,Second Owner,250000
Tata,2015,100000,Diesel,Individual,Manual,First Owner,400000
Maruti,2014,163000,Diesel,Individual,Manual,First Owner,470000
Maruti,2018,25000,Petrol,Individual,Automatic,First Owner,300000
Maruti,2011,25000,Petrol,Individual,Manual,First Owner,145000
Maruti,2007,90000,Petrol,Individual,Manual,Second Owner,100000
Mahindra,2014,70000,Diesel,Individual,Manual,Second Owner,500000
Hyundai,2010,98000,CNG,Individual,Manual,Second Owner,130000
Chevrolet,2010,81925,Diesel,Individual,Manual,First Owner,240000
Ford,2013,80000,Diesel,Individual,Manual,Second Owner,150000
Renault,2017,40000,Petrol,Individual,Manual,First Owner,270000
Maruti,2014,90000,Diesel,Individual,Manual,First Owner,400000
Hyundai,2012,46000,Petrol,Individual,Manual,First Owner,200000
Mahindra,2012,80000,Diesel,Individual,Manual,First Owner,550000
Renault,2018,35000,Petrol,Individual,Manual,First Owner,325000
Skoda,2017,82080,Diesel,Individual,Automatic,First Owner,860000
Mahindra,2012,200000,Diesel,Individual,Manual,First Owner,600000
Chevrolet,2009,70000,Petrol,Individual,Manual,First Owner,125000
Maruti,2000,40000,Petrol,Individual,Manual,Third Owner,60000
Chevrolet,2010,120000,Diesel,Individual,Manual,Third Owner,300000
Ford,2007,60000,Petrol,Individual,Manual,Third Owner,190000
Maruti,2013,110000,Diesel,Individual,Manual,First Owner,400000
Tata,2011,97000,Diesel,Individual,Manual,Second Owner,260000
Maruti,2017,30000,Petrol,Individual,Manual,First Owner,400000
Hyundai,2010,40000,Petrol,Individual,Manual,First Owner,250000
Hyundai,2019,10000,Petrol,Individual,Manual,First Owner,600000
Maruti,2010,52047,Petrol,Individual,Manual,First Owner,175000
Toyota,2011,200000,Diesel,Individual,Manual,Third Owner,450000
Tata,2019,15000,Petrol,Individual,Automatic,Second Owner,350000
Maruti,2018,50000,Diesel,Individual,Manual,First Owner,800000
Maruti,2011,70000,Petrol,Individual,Manual,Second Owner,250000
Maruti,2019,10000,Petrol,Individual,Manual,First Owner,600000
Maruti,2017,90000,Diesel,Individual,Manual,First Owner,600000
Maruti,2016,40000,Petrol,Individual,Manual,First Owner,130000
Maruti,2006,62009,Petrol,Individual,Manual,Second Owner,90000
Hyundai,2017,33100,Petrol,Individual,Manual,Second Owner,595000
Hyundai,2014,40000,Petrol,Individual,Manual,Second Owner,190000
Hyundai,1999,120000,Petrol,Individual,Manual,Second Owner,50000
Maruti,2007,80000,Petrol,Individual,Manual,First Owner,95000
Tata,2016,70000,Diesel,Individual,Manual,First Owner,1000000
Mahindra,2006,220000,Petrol,Individual,Manual,Second Owner,220000
Mahindra,2010,50000,Diesel,Individual,Manual,First Owner,400000
Datsun,2015,45000,Petrol,Individual,Manual,Second Owner,315000
Toyota,2014,110000,Diesel,Individual,Manual,First Owner,1000000
Ford,2014,49000,Diesel,Individual,Manual,First Owner,500000
Mahindra,2018,35000,Diesel,Individual,Automatic,First Owner,1600000
Mahindra,2017,160000,Diesel,Individual,Manual,First Owner,500000
Maruti,2007,180000,Petrol,Individual,Manual,Third Owner,70000
Maruti,2007,60000,Petrol,Individual,Manual,Second Owner,105000
Ford,2008,110000,Diesel,Individual,Manual,Third Owner,400000
Maruti,2004,60000,Petrol,Individual,Manual,Third Owner,80000
Maruti,2016,30000,Petrol,Individual,Manual,First Owner,300000
Mahindra,2017,40000,Diesel,Individual,Manual,First Owner,409999
Maruti,2009,70000,Petrol,Individual,Manual,First Owner,250000
Tata,2010,120000,Diesel,Individual,Manual,Second Owner,250000
Maruti,2012,80000,Diesel,Individual,Manual,Third Owner,215000
Toyota,2015,120000,Diesel,Individual,Manual,First Owner,1400000
Honda,2018,20000,Petrol,Individual,Manual,First Owner,475000
Honda,2018,22000,Petrol,Individual,Manual,First Owner,475000
Chevrolet,2008,35000,Petrol,Individual,Manual,Second Owner,75000
Chevrolet,2013,120000,Diesel,Individual,Manual,Second Owner,200000
Tata,2019,8000,Petrol,Individual,Manual,First Owner,575000
Maruti,2011,40000,Diesel,Individual,Manual,Second Owner,150000
Maruti,2018,10000,Diesel,Individual,Manual,First Owner,850000
Hyundai,2019,30000,Petrol,Individual,Manual,First Owner,350000
Ford,2011,54000,Diesel,Individual,Manual,Second Owner,550000
